TOWNAME,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,POINT_X,POINT_Y,lon,lat
Abira,YES,NA,944,1085.6,Atwima Nwabiagya,Ashanti,NA,No,NA,NA,639772.8275,763451.3054,6.905169998,-1.734880899
Abirem,YES,NA,2095,2409.25,Amansie West,Ashanti,NA,No,NA,NA,613891.8502,705995.7101,6.386069699,-1.970189199
Aboabo,YES,NA,576,662.4,Amansie Central,Ashanti,NA,No,NA,NA,647166.3483,703802.9184,6.365549099,-1.669420999
Aboabo,YES,NA,2118,2435.7,Atwima Kwanwoma,Ashanti,NA,No,NA,NA,652106.1984,728706.324,6.590646898,-1.624156799
Aboabo No.2,YES,NA,3375,3881.25,Adansi North,Ashanti,NA,No,NA,NA,682103.3984,687953.8924,6.221324698,-1.354074999
Aboabo No.I,YES,NA,1053,1210.95,Adansi North,Ashanti,NA,No,NA,NA,681217.4831,686428.5575,6.207556698,-1.362122699
Aboabogya,YES,NA,2027,2331.05,Kwabre,Ashanti,NA,No,NA,NA,653472.4647,756169.1339,6.838969798,-1.611096899
Aboabogya II,YES,NA,248,285.2,Atwima Mponua,Ashanti,NA,No,NA,2020,580241.5311,723918.1334,6.548704399,-2.2742043
Aboaboso,YES,CWE,222,255.3,Asante Akim South,Ashanti,NA,No,2018,NA,707940.4036,732760.5123,6.625654598,-1.119142398
Aboaboso,YES,CWE,73,83.95,Adansi North,Ashanti,NA,No,2017,NA,669148.6718,671279.2496,6.070887199,-1.471566198
Aboabo-Tetekasu,YES,NA,2535,2915.25,Amansie West,Ashanti,NA,No,NA,NA,621036.8618,726014.9301,6.567000199,-1.9052016
Aboaso,YES,NA,1065,1224.75,Bosumtwe,Ashanti,NA,No,NA,NA,661649.9038,731894.6584,6.619234098,-1.537765199
Aboaso,YES,NA,16638,19133.7,Kwabre,Ashanti,NA,No,NA,NA,661822.5761,753036.1385,6.810413998,-1.535632099
Aboaso(Abuoso),YES,NA,425,488.75,Bekwai Municipal,Ashanti,FEEDER ROAD,No,NA,NA,664469.2233,710138.3703,6.422414707,-1.512848398
Aboasu,YES,NA,4169,4794.35,Offinso South Municipal,Ashanti,NA,No,NA,NA,645484.6608,767000.2781,6.937125498,-1.683101799
Abodiase,YES,NA,1035,1190.25,Amansie West,Ashanti,NA,No,NA,NA,630101.7289,724017.7062,6.548750999,-1.823262099
Abodom,YES,NA,3207,3688.05,Bekwai Municipal,Ashanti,NA,No,NA,NA,661940.3103,711673.9868,6.436367498,-1.535670299
Abodom,YES,NA,879,1010.85,Asante Akim South,Ashanti,NA,No,NA,NA,714714.7038,706997.784,6.392500036,-1.058786186
Abodom-Dome,YES,NA,593,681.95,Amansie West,Ashanti,NA,No,NA,NA,632675.1425,711071.022,6.431604099,-1.800266799
Abofour,YES,NA,16906,19441.9,Offinso South Municipal,Ashanti,NA,No,NA,NA,639708.133,788724.0675,7.133731798,-1.734849099
Abofrem,YES,UWE,2044,2350.6,Atwima Mponua,Ashanti,NA,No,2015,NA,572844.1434,720481.6294,6.517711598,-2.341152199
Abokyikrom Akuraa,YES,NA,177,203.55,Atwima Mponua,Ashanti,NA,No,NA,NA,601906.2855,730451.545,6.607477398,-2.078150099
Abonkusu,YES,NA,1082,1244.3,Sekyere Central,Ashanti,NA,No,NA,NA,676816.2198,775257.4965,7.010919398,-1.3993099
Abonsuaso,YES,NA,3456,3974.4,Ahafo Ano North,Ashanti,NA,No,NA,NA,585647.5864,754332.9204,6.823740699,-2.2248754
Abonu,YES,NA,1746,2007.9,Bosumtwe,Ashanti,NA,No,NA,NA,673493.9803,722687.6578,6.535651198,-1.430914999
Aboo (Ebo),YES,NA,1033,1187.95,Amansie Central,Ashanti,NA,No,NA,NA,636804.3302,681020.7868,6.159737799,-1.7635769
Aborodwom,YES,NA,168,193.2,Bosumtwe,Ashanti,NA,No,NA,NA,672539.3132,721250.7914,6.522684799,-1.439587099
Abosamso,YES,NA,1717,1974.55,Bosome Freho,Ashanti,NA,No,NA,NA,675721.5165,698160.7351,6.313798998,-1.411462499
Abosoma,YES,NA,337,387.55,Bosome Freho,Ashanti,NA,No,NA,NA,672421.7424,712470.2003,6.443287098,-1.440894099
Abotanso,YES,NA,4007,4608.05,Kumawu,Ashanti,NA,No,NA,NA,689468.798,761596.6794,6.886995399,-1.285249599
Abrade,YES,NA,852,979.8,Kwabre,Ashanti,NA,No,NA,NA,658042.8936,753671.9195,6.816265898,-1.569810898
Abrakaso,YES,NA,1228,1412.2,Sekyere South,Ashanti,NA,No,NA,NA,664810.0939,765992.0794,6.927490998,-1.508238499
Abraso No.1,YES,NA,274,315.1,Amansie Central,Ashanti,NA,No,NA,NA,625948.8939,683071.8137,6.178506599,-1.861633899
Abraso No.2,YES,NA,138,158.7,Amansie Central,Ashanti,NA,No,NA,NA,625606.5946,683092.4216,6.178699599,-1.864726899
Abrebokese,YES,NA,7784,8951.6,Kumasi Metropolitan,Ashanti,NA,No,NA,NA,648535.2882,744179.4185,6.730667159,-1.656069793
Abrensi (Abrense),YES,NA,478,549.7,Amansie West,Ashanti,NA,No,NA,NA,629288.9637,718463.161,6.498531499,-1.830728799
Abrepo,YES,NA,7563,8697.45,Kumasi Metropolitan,Ashanti,NA,No,NA,NA,648852.5866,743433.9082,6.723917199,-1.653218026
Abrewanko,YES,CWE,0,0,Asante Akim South,Ashanti,NA,No,2018,NA,716116.3008,737755.9439,6.670531698,-1.045040198
Abroma,YES,NA,1000,1150,Afigya Kwabre,Ashanti,FEEDER ROAD,No,NA,NA,653663.1289,771028.3587,6.973341507,-1.608979198
Abrosanase,YES,UWE,177,203.55,Asante Akim South,Ashanti,NA,No,2015,NA,698763.2447,703632.1296,6.362592799,-1.203057599
Abu Camp,YES,NA,160,184,Asante Akim South,Ashanti,NA,No,NA,NA,703861.2269,731534.3764,6.614706998,-1.156067298
Abuakwa,YES,NA,2013,2314.95,Amansie Central,Ashanti,NA,No,NA,NA,628655.2828,696292.5767,6.298027098,-1.8369125
Abuakwa,YES,NA,25082,28844.3,Atwima Nwabiagya,Ashanti,NA,No,NA,NA,641664.1436,740819.8246,6.700450598,-1.7183078
Abuntunso,YES,NA,1103,1268.45,Amansie Central,Ashanti,NA,No,NA,NA,634792.3386,696982.3664,6.304139099,-1.7814252
Abuontem,YES,NA,2012,2313.8,Bosumtwe,Ashanti,NA,No,NA,NA,658542.502,728485.9552,6.588490199,-1.565956499
