TOWNAME,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,POINT_X,POINT_Y,lon,lat
Egyeikrom,YES,GEDAP INT,897,1031.55,Komenda/Edina/Eguafo/Abirem,Central,NA,No,2011,NA,672634.4736,565129.6298,5.110877803,-1.442616167
Egyirkrom,YES,NA,918,1055.7,Abura/Asebu/Kwamankese,Central,NA,No,NA,NA,701735.2726,585563.1845,5.2949464,-1.179641798
Ekon,YES,SHEP1,4865,5594.75,Cape Coast Metro,Central,NA,No,NA,NA,697895.6801,566098.1781,5.119041864,-1.214773539
Ekotsi,YES,NA,1246,1432.9,Ekumfi,Central,NA,No,NA,NA,731492.7322,585443.406,5.293016299,-0.911241999
Ekukrom,YES,GEDAP,188,216.2,Ajumako/Enyan/Esiam,Central,NA,No,2011,NA,715350.6455,598540.8456,5.4119079,-1.056459198
Ekumfi Akwakrom,YES,NA,641,737.15,Ekumfi,Central,NA,No,NA,NA,722824.1637,583267.1511,5.273599661,-0.989488683
Ekumfi Dunkwa,YES,NA,562,646.3,Ekumfi,Central,NA,No,NA,NA,730106.4424,584035.3821,5.28032901,-0.92378733
Ekumfi Swedru,YES,NA,413,474.95,Ekumfi,Central,NA,No,NA,NA,722325.1222,583295.4043,5.273869638,-0.993988775
Ekumpoanu,YES,NA,2514,2891.1,Ekumfi,Central,NA,No,NA,NA,733455.9249,576083.2303,5.2083366,-0.893820298
Ekurofor,YES,NA,1932,2221.8,Abura/Asebu/Kwamankese,Central,NA,No,NA,NA,700771.0756,581507.1865,5.2582976,-1.188445699
Ekurofor (Akroful),YES,NA,562,646.3,Mfantsiman Municipal,Central,NA,No,NA,NA,700182.0442,575984.8097,5.2083795,-1.193901998
Ekutukrom,YES,NA,202,232.3,Mfantsiman Municipal,Central,NA,No,NA,NA,702863.8112,575305.3909,5.202166373,-1.169732414
Ekwamase,YES,NA,998,1147.7,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,712039.1617,598832.2278,5.414637499,-1.086325698
Ekwamkrom,YES,NA,4895,5629.25,Gomoa West,Central,NA,No,NA,NA,755552.5192,609424.0748,5.509011,-0.693444198
Elmina,YES,NA,29818,34290.7,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,682976.7154,561957.7876,5.081962109,-1.349414585
Elmina Castle,YES,NA,234,269.1,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,682991.0706,562035.7378,5.082666667,-1.349283332
Elmina Junction,YES,NA,706,811.9,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,683819.7915,563752.3007,5.09817,-1.341769998
Elmina-Tetteh Kessimu,YES,NA,2232,2566.8,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,682999.9053,563062.3575,5.09195,-1.349179999
Emissakrom,YES,NA,555,638.25,Mfantsiman Municipal,Central,NA,No,NA,NA,700482.0929,575837.406,5.207038899,-1.191199598
Emissano,YES,NA,681,783.15,Ekumfi,Central,NA,No,NA,NA,721202.8785,576031.1365,5.208225747,-1.004319013
Empiro,YES,NA,448,515.2,Abura/Asebu/Kwamankese,Central,NA,No,NA,NA,700958.63,583329.8074,5.274772799,-1.186706199
Engow,YES,NA,503,578.45,Ekumfi,Central,NA,No,NA,NA,729474.9562,586625.8276,5.3037672,-0.929404698
Entumbil,YES,NA,3168,3643.2,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,729428.2148,606947.244,5.4874857,-0.929203098
Enyan Apaa,YES,NA,1632,1876.8,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,723699.6291,587570.5688,5.3124808,-0.981466598
Enyan Denkyira,YES,SHEP-4,6185,7112.75,Ajumako/Enyan/Esiam,Central,NA,No,2009,NA,723921.5442,597437.517,5.401679938,-0.979171831
Enyan Edwansa Okokodo,YES,NA,568,653.2,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,728673.342,588883.1064,5.324198599,-0.936566698
Enyan Kokwado,YES,NA,380,437,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,724670.9862,592289.132,5.3551118,-0.972565299
Enyan Nsawadze,YES,NA,478,549.7,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,726084.3277,590005.1019,5.334420099,-0.959885098
Enyan Onyaadze,YES,NA,632,726.8,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,728416.6747,589159.3199,5.326703499,-0.938873398
Enyan-Nkodwo,YES,NA,1570,1805.5,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,724673.084,592291.7493,5.3551354,-0.972546298
Enyeku/Dankwakrom,YES,NA,69,79.35,Abura/Asebu/Kwamankese,Central,NA,No,NA,NA,692716.8862,570995.9208,5.1634577,-1.261356799
Enyinabrim,YES,NA,495,569.25,Abura/Asebu/Kwamankese,Central,NA,No,NA,NA,702998.7488,581739.8377,5.2603425,-1.168346199
Enyinasu,YES,GEDAP,225,258.75,Ajumako/Enyan/Esiam,Central,NA,No,2011,NA,715696.4528,599843.1895,5.4236727,-1.053301799
Esaaman,YES,NA,396,455.4,Abura/Asebu/Kwamankese,Central,NA,No,NA,NA,691324.6893,579447.5238,5.239915032,-1.273704697
Eshiro (Ehyerew),YES,NA,1081,1243.15,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,717996.4724,590225.3133,5.336648899,-1.032831399
Esikado,YES,SHEP2,845,971.75,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,734322.0862,603161.026,5.453102599,-0.885171898
Essaman,YES,CHINA,1337,1537.55,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,731516.9413,601232.835,5.435759364,-0.910537931
Essaman,YES,NA,1307,1503.05,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,678402.785,564107.766,5.101508636,-1.390615325
Essaman Junction,YES,NA,2190,2518.5,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,677935.3044,564374.1847,5.103928414,-1.394825392
Essandokrom,YES,WELDY,83,95.45,Abura/Asebu/Kwamankese,Central,NA,No,2013,NA,689194.4619,588805.3926,5.3245863,-1.292687999
Essarkyir,YES,NCD,2377,2733.55,Ekumfi,Central,NA,No,2015,NA,733661.099,588239.8798,5.3182312,-0.891599898
Essuekyir,YES,NA,2053,2360.95,Cape Coast Metro,Central,NA,No,NA,NA,689746.0835,569467.7486,5.149712,-1.288187498
Essueshia,YES,NA,2019,2321.85,Ekumfi,Central,NA,No,NA,NA,733818.1025,587174.6583,5.308596367,-0.89021663
Essuman Gwira,YES,SECO,545,626.75,Asikuma/Odoben/Brakwa,Central,NA,No,2014,NA,703902.0444,621705.4994,5.621679999,-1.159099999
Esusu (Kwame Egyin),YES,SHEP-4,194,223.1,Agona East,Central,NA,No,2013,NA,762688.1488,629486.8571,5.690098599,-0.628345198
Etsi Fawomanye,YES,NA,1672,1922.8,Assin South,Central,NA,No,NA,NA,708338.5618,599618.6624,5.4218527,-1.119689698
Etsibeedu,YES,NA,623,716.45,Ekumfi,Central,NA,No,NA,NA,740598.8669,579243.7601,5.236688999,-0.829310998
Etsi-Sonkwa,YES,NA,1975,2271.25,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,715573.493,592712.8943,5.359209399,-1.054616398
Eture,YES,NA,3234,3719.1,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,685831.5095,563663.0524,5.0973159,-1.323629699
Etwa,YES,NA,1556,1789.4,Ekumfi,Central,NA,No,NA,NA,731932.3361,582612.4898,5.2674101,-0.907363098
Ewuagyan Via Dutch Komenda,YES,NA,379,435.85,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,668493.3474,558932.357,5.054923025,-1.48009682
Ewuoyaa,YES,NA,343,394.45,Mfantsiman Municipal,Central,NA,No,NA,NA,714790.8923,579798.9493,5.242472585,-1.062040185
Ewusikrom,YES,W/L,35,40.25,Twifo/Heman/Lower Denkyira,Central,NA,No,NA,NA,681791.9575,578616.0481,5.2326275,-1.359712299
Ewusikwaa,YES,NA,230,264.5,Asikuma/Odoben/Brakwa,Central,NA,No,2017,NA,716406.5046,628134.2331,5.679436199,-1.046053598
Eyirakrom,YES,NA,721,829.15,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,724456.0434,593145.8874,5.362863999,-0.974478598
Eyisam,YES,NA,2052,2359.8,Ekumfi,Central,NA,No,NA,NA,728331.7607,584882.2195,5.288038298,-0.939767656
Famaye,YES,GEDAP,925,1063.75,Gomoa West,Central,NA,No,2011,NA,739593.6242,587613.8894,5.312386885,-0.838114009
Fankyeneko,YES,GEDAP,742,853.3,Asikuma/Odoben/Brakwa,Central,NA,No,2011,NA,715296.1109,620456.4859,5.610053999,-1.056306799
Fanti No.1,YES,SECO,151,173.65,Assin South,Central,NA,No,2014,NA,692712.1165,616401.828,5.574032699,-1.260235999
Fanti No.2,YES,SECO,182,209.3,Assin South,Central,NA,No,2014,NA,692341.8925,616434.3124,5.574336299,-1.263576398
Fawasokotie,YES,NA,61,70.15,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,685868.7515,570849.8449,5.162302946,-1.323124186
Fawomanye,YES,NA,58,66.7,Abura/Asebu/Kwamankese,Central,NA,No,NA,NA,690830.1043,574540.3448,5.1955544,-1.278286899
Fawomanye,YES,SECO,75,86.25,Assin South,Central,NA,No,2014,NA,702867.5444,615898.0953,5.569199999,-1.168599999
Fetteh Kakraba,YES,NA,930,1069.5,Gomoa East,Central,NA,No,NA,NA,777144.6989,610235.5172,5.515558146,-0.498648522
Fianko,YES,SHEP-4,1523,1751.45,Awutu Senya,Central,NA,No,2012,NA,773773.8875,632882.4743,5.720367876,-0.528189027
Fianko Ekura,YES,WELDY,82,94.3,Awutu Senya,Central,NA,No,2014,NA,770642.0008,633628.0129,5.727227249,-0.556419603
Fobinso,YES,WELDY,408,469.2,Upper Denkyira West,Central,NA,No,2014,NA,617290.2243,661300.377,5.981751424,-1.940269783
Fortwekrom,YES,WELDY,27,31.05,Abura/Asebu/Kwamankese,Central,NA,No,2017,NA,697356.1069,588981.5606,5.325970699,-1.219055398
Fosu Dantsui,YES,NA,162,186.3,Assin North,Central,NA,No,NA,NA,689723.5699,630838.0361,5.704649299,-1.286824798
Fosu Odumase,YES,WELDY,1414,1626.1,Assin North,Central,NA,No,2016,NA,693930.6332,630941.778,5.705472999,-1.248844699
Framase  2,YES,SECO,297,341.55,Assin South,Central,NA,No,2014,NA,698988.8801,604992.5648,5.470699999,-1.203899998
Framase 1,YES,SECO,184,211.6,Assin South,Central,NA,No,2014,NA,698112.1437,605399.1487,5.4744,-1.211799998
Ghana Camp,YES,NA,162,186.3,Assin North,Central,NA,No,NA,NA,690374.3592,649919.3351,5.877170399,-1.280428299
Gold Coast Camp,YES,NA,162,186.3,Assin North,Central,NA,No,NA,NA,690857.9486,650159.3375,5.879327099,-1.276054898
Gomoa Abamkrom,YES,NA,2141,2462.15,Gomoa West,Central,NA,No,NA,NA,736939.2246,609625.4446,5.51145837,-0.861354451
Gomoa Abasa,YES,NA,1218,1400.7,Gomoa East,Central,NA,No,NA,NA,757994.3125,604465.2765,5.464102844,-0.671591327
Gomoa Abonyi,YES,NA,1039,1194.85,Gomoa East,Central,NA,No,NA,NA,758070.0613,604086.137,5.460673163,-0.670921315
Gomoa Abotsia,YES,NA,220,253,Gomoa West,Central,NA,No,2011,NA,745140.4171,589975.1648,5.333554934,-0.788013189
Gomoa Abrekum,YES,NA,1058,1216.7,Gomoa West,Central,NA,No,NA,NA,753394.3789,587050.6965,5.306847443,-0.713671953
Gomoa Achiase,YES,NA,2480,2852,Gomoa West,Central,NA,No,NA,NA,750808.3157,609394.5773,5.508908651,-0.736242404
Gomoa Adaa,YES,NA,1263,1452.45,Gomoa West,Central,NA,No,NA,NA,739364.6467,592831.5973,5.3595625,-0.840014055
Gomoa Adam,YES,NA,541,622.15,Gomoa West,Central,NA,No,NA,NA,739204.1117,589291.5631,5.327565473,-0.84157407
Gomoa Adzintem,YES,NA,784,901.6,Gomoa East,Central,NA,No,NA,NA,763777.4864,604119.5374,5.460773177,-0.619440471
Gomoa Afranse,YES,NA,4854,5582.1,Gomoa West,Central,NA,No,NA,NA,749364.0451,609357.0329,5.508618673,-0.749272617
Gomoa Ahweafitaam,YES,NA,187,215.05,Agona West Municipal,Central,NA,No,NA,NA,746241.2277,610546.2292,5.5194744,-0.777404297
Gomoa Ajumako,YES,NA,708,814.2,Gomoa West,Central,NA,No,NA,NA,733358.3226,594895.5992,5.378410732,-0.89412495
Gomoa Akropong,YES,NA,1616,1858.4,Gomoa West,Central,NA,No,NA,NA,738638.2591,599159.149,5.416787178,-0.846364176
Gomoa Akropong,YES,NA,2687,3090.05,Gomoa West,Central,NA,No,NA,NA,752752.3954,610630.9534,5.520017624,-0.718662122
Gomoa Akwakrom,YES,NA,702,807.3,Gomoa West,Central,NA,No,NA,NA,745060.0161,593520.0016,5.365601955,-0.788623211
Gomoa Akwamu,YES,GEDAP INT,1485,1707.75,Gomoa West,Central,NA,No,2011,NA,749725.7289,610424.6492,5.518256971,-0.745973393
Gomoa Akyemfo,YES,NA,1477,1698.55,Gomoa West,Central,NA,No,NA,NA,748525.753,582592.8247,5.266711157,-0.757722666
Gomoa Akyempim,YES,NA,1215,1397.25,Asikuma/Odoben/Brakwa,Central,NA,No,NA,NA,734610.2947,611218.7077,5.525937018,-0.882314798
Gomoa Akyiase,YES,NA,623,716.45,Gomoa West,Central,NA,No,NA,NA,740003.2435,599704.8881,5.421676727,-0.834033976
Gomoa Anyanful,YES,NA,868,998.2,Ajumako/Enyan/Esiam,Central,NA,No,NA,NA,736181.6066,605981.0479,5.4785369,-0.868306798
Gomoa Asebu,YES,NA,2823,3246.45,Gomoa East,Central,NA,No,NA,NA,760665.541,596653.4829,5.393399427,-0.647770905
Gomoa Asempanyin,YES,NA,1221,1404.15,Gomoa West,Central,NA,No,NA,NA,735038.0475,593266.6566,5.363632109,-0.879024698
Gomoa Assin,YES,NA,1622,1865.3,Gomoa West,Central,NA,No,NA,NA,743530.9522,590449.4574,5.337894526,-0.802513431
Gomoa Ayensuadze,YES,NA,1543,1774.45,Gomoa East,Central,NA,No,NA,NA,759719.1684,606797.2744,5.485120897,-0.655951081
Gomoa Benso,YES,NA,2731,3140.65,Gomoa West,Central,NA,No,NA,NA,753009.8465,610848.7529,5.521977444,-0.716332084
Gomoa Borkor,YES,NA,30,34.5,Gomoa East,Central,NA,No,2017,NA,758334.0824,606589.3459,5.483290299,-0.668452198
Gomoa Brofo,YES,NA,2411,2772.65,Gomoa West,Central,NA,No,NA,NA,737431.9745,593081.3825,5.3618819,-0.857437998
Gomoa Dago,YES,NA,6713,7719.95,Gomoa West,Central,NA,No,NA,NA,744511.0656,578596.9371,5.2307185,-0.794053098
Gomoa Dahom,YES,GEDAP INT,2289,2632.35,Gomoa West,Central,NA,No,2011,NA,749578.5772,606065.8954,5.478861299,-0.747449098
Gomoa Debiso,YES,NA,1448,1665.2,Gomoa West,Central,NA,No,NA,NA,742241.8259,604224.7403,5.462462941,-0.813693655
Gomoa Denkyira,YES,NA,1406,1616.9,Gomoa West,Central,NA,No,NA,NA,745048.3869,600384.572,5.427656186,-0.788503231
Gomoa Dunkwa,YES,NA,1231,1415.65,Gomoa West,Central,NA,No,NA,NA,741239.8356,598026.9405,5.406468145,-0.822933789
Gomoa Enyeme,YES,NA,1982,2279.3,Gomoa West,Central,NA,No,NA,NA,744154.7928,598414.6614,5.409878099,-0.796628198
Gomoa Eshiem,YES,NA,4547,5229.05,Gomoa West,Central,NA,No,NA,NA,738480.7874,608129.1341,5.497881499,-0.847495397
Gomoa Esikuma,YES,GEDAP INT,1735,1995.25,Gomoa West,Central,NA,No,2011,NA,746938.3935,605248.5639,5.47156211,-0.771292964
Gomoa Fetteh,YES,NA,5061,5820.15,Gomoa East,Central,NA,No,NA,NA,780655.3824,599871.3415,5.421756885,-0.467377956
Gomoa Fomena,YES,NA,1027,1181.05,Gomoa West,Central,NA,No,NA,NA,743126.6636,609011.912,5.505708923,-0.805553537
Gomoa Gyaman,YES,NA,2969,3414.35,Gomoa West,Central,NA,No,NA,NA,747874.7267,607849.288,5.495039999,-0.762758998
Gomoa Kokofu,YES,NA,1436,1651.4,Gomoa West,Central,NA,No,NA,NA,740988.7567,609523.9538,5.51040848,-0.824823854
Gomoa Kumasi,YES,NA,892,1025.8,Gomoa West,Central,NA,No,NA,NA,743942.4025,597133.2527,5.398301399,-0.798585799
Gomoa Lome,YES,NA,2440,2806,Gomoa East,Central,NA,No,NA,NA,748684.6126,598893.4025,5.414055776,-0.755753974
Gomoa Mampong,YES,NA,582,669.3,Gomoa East,Central,NA,No,NA,NA,764202.6484,598748.1432,5.412208,-0.615796798
Gomoa Mampong,YES,NA,825,948.75,Gomoa West,Central,NA,No,NA,NA,741621.9381,607634.8249,5.493310071,-0.819173755
Gomoa Mangoase,YES,NA,1365,1569.75,Gomoa West,Central,NA,No,NA,NA,756195.8877,607387.5688,5.490580375,-0.687711603
Gomoa Mankessim,YES,NA,2976,3422.4,Gomoa West,Central,NA,No,NA,NA,740436.0853,601735.0156,5.440015024,-0.830063917
Gomoa Mpota,YES,NA,430,494.5,Gomoa East,Central,NA,No,NA,NA,763592.206,597950.3165,5.405018359,-0.621330475
Gomoa Nduem,YES,NA,480,552,Gomoa West,Central,NA,No,NA,NA,745902.8869,602570.0984,5.447384354,-0.78072311
Gomoa Nkoransa,YES,NA,1583,1820.45,Gomoa West,Central,NA,No,NA,NA,744152.283,593939.6983,5.3694255,-0.796796698
Gomoa Nkran,YES,NA,1080,1242,Gomoa West,Central,NA,No,NA,NA,746323.0484,603172.2775,5.452813852,-0.77691305
Gomoa Nsuaem,YES,NA,1198,1377.7,Gomoa East,Central,NA,No,NA,NA,761404.3934,605099.8967,5.4697189,-0.640810298
Gomoa Obiri,YES,NA,715,822.25,Gomoa West,Central,NA,No,NA,NA,741636.6072,585473.7924,5.2929757,-0.819756798
Gomoa Obokrom,YES,NA,475,546.25,Gomoa West,Central,NA,No,NA,NA,744105.4017,596246.5754,5.3902807,-0.797144499
Gomoa Obuasi,YES,GEDAP INT,3883,4465.45,Gomoa West,Central,NA,No,2011,NA,749078.5289,609071.8496,5.506050499,-0.751857998
Gomoa Ofaso,YES,NA,530,609.5,Gomoa West,Central,NA,No,NA,NA,747489.7425,609895.3173,5.513548208,-0.766162896
Gomoa Oguaa,YES,NA,1720,1978,Gomoa West,Central,NA,No,NA,NA,742345.7131,599414.6516,5.418976985,-0.812913627
Gomoa Ohua,YES,NA,1238,1423.7,Gomoa West,Central,NA,No,NA,NA,741159.2205,594522.5309,5.374791089,-0.823773792
Gomoa Okwawu,YES,NA,1139,1309.85,Gomoa West,Central,NA,No,NA,NA,743997.3984,605844.9745,5.47705159,-0.7978034
Gomoa Osedzie,YES,NA,1166,1340.9,Gomoa West,Central,NA,No,NA,NA,744930.5608,602438.1002,5.4462234,-0.789498298
Gomoa Pinanko,YES,NA,1864,2143.6,Gomoa West,Central,NA,No,NA,NA,745212.9675,602146.7253,5.443580099,-0.786960498
Gomoa Tarkwa,YES,NA,3949,4541.35,Gomoa West,Central,NA,No,NA,NA,739036.9858,605479.61,5.473911599,-0.842563698
Gomoa Tekyeam,YES,GEDAP INT,1193,1371.95,Gomoa West,Central,NA,No,2011,NA,738321.3636,605055.1429,5.4700976,-0.849033199
Gomoa Wassa,YES,NA,1533,1762.95,Gomoa West,Central,NA,No,NA,NA,746278.8729,602825.8941,5.449684143,-0.777323055
Gwira Akyinim,YES,NA,880,1012,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,680929.7215,562832.573,5.089919696,-1.367854962
Gyabenkwaa,YES,NA,290,333.5,Ekumfi,Central,NA,No,NA,NA,737046.912,583601.9221,5.276197955,-0.861207137
Gyahadze,YES,NA,811,932.65,Effutu Municipal,Central,NA,No,NA,NA,767343.0982,596047.7896,5.387688886,-0.587570385
Gyahadze,YES,SECO,140,161,Assin South,Central,NA,No,2014,NA,684007.4869,622531.7237,5.629689999,-1.338639999
Gyampokrom (Mfante),YES,W/L,359,412.85,Upper Denkyira East Municipal,Central,NA,No,2014,NA,643498.8954,649589.6243,5.875331232,-1.703756122
Gyandokrom (Eyabankrom),YES,GEDAP INT,736,846.4,Abura/Asebu/Kwamankese,Central,NA,No,2011,NA,699090.8684,582178.719,5.2644135,-1.203583698
Gyankobo,YES,NA,1033,1187.95,Twifo/Heman/Lower Denkyira,Central,NA,No,NA,NA,671107.1267,596670.6408,5.396144222,-1.455689167
Gyesikrom,YES,SECO,654,752.1,Agona East,Central,NA,No,NA,NA,763236.1449,622195.1476,5.6241714,-0.623669697
Gyinabodie,YES,SECO,267,307.05,Assin South,Central,NA,No,2014,NA,693229.9948,607046.9807,5.489429999,-1.255809998
Gyinakoma (Gyankoma),YES,NA,791,909.65,Ekumfi,Central,NA,No,NA,NA,730777.3828,589282.407,5.327744597,-0.917577185
Gyinakuma,YES,NA,97,111.55,Mfantsiman Municipal,Central,NA,No,NA,NA,703439.9658,575830.1343,5.206895932,-1.164522305
Han's Cottage,YES,NA,14,16.1,Cape Coast Metro,Central,NA,No,NA,NA,687351.8826,572724.1064,5.1792157,-1.309702598
Hariom Int. School,YES,NA,32,36.8,Mfantsiman Municipal,Central,NA,No,NA,NA,716687.1895,577577.478,5.22233445,-1.044999843
Haruna,YES,SECO,140,161,Assin South,Central,NA,No,2014,NA,690637.7981,617795.5215,5.586689999,-1.278919998
Hasowodze,YES,SHEP-4,678,779.7,Assin South,Central,NA,No,2009,NA,713986.9642,603448.1859,5.456316099,-1.068620299
Hinii,YES,NA,1293,1486.95,Ekumfi,Central,NA,No,NA,NA,720568.6938,575648.6832,5.204786069,-1.010049131
Hoin Afadjator,YES,NA,495,569.25,Awutu Senya,Central,FR,No,NA,NA,775793.0778,628177.4348,5.677765763,-0.510153386
Homaho,YES,SHEP-4,839,964.85,Assin South,Central,NA,No,2012,NA,690635.6124,616006.002,5.5705086,-1.278986899
Homaho Junction,YES,SHEP-4,174,200.1,Assin South,Central,NA,No,2012,NA,690580.4465,622235.5758,5.626839999,-1.279319998
Homedakrom (7Th Day Church),YES,WELDY,234,269.1,Abura/Asebu/Kwamankese,Central,NA,No,2014,NA,690446.4624,583672.3565,5.278139699,-1.281521599
Hospital Junction,YES,NA,848,975.2,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,683175.2236,563881.1359,5.09935,-1.347579998
Hotel Larota,YES,NA,14,16.1,Cape Coast Metro,Central,NA,No,NA,NA,688526.445,569575.6948,5.1507176,-1.299184699
Imbraim   (Mmraem),YES,SHEP,1235,1420.25,Upper Denkyira East Municipal,Central,NA,No,2013,NA,636664.3196,642679.0854,5.812970299,-1.7656207
Immuna,YES,NA,2521,2899.15,Ekumfi,Central,NA,No,NA,NA,737967.7709,576429.4832,5.211329299,-0.853124098
Isaackrom,YES,NA,18,20.7,Twifo-Ati-Mokwa,Central,NA,No,2020,NA,654526.8713,644299.7521,5.827251499,-1.604276999
Islamic Welfare Centre,YES,NA,14,16.1,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,673790.9396,563150.2987,5.092952928,-1.432229446
Jacobkrom,YES,YES,451,518.65,Agona West Municipal,Central,NA,No,NA,NA,752743.401,618210.2772,5.588529299,-0.718479597
Jakai,YES,GEDAP INT,2665,3064.75,Assin South,Central,NA,No,2011,NA,698808.4639,597777.3756,5.405464899,-1.205721198
Jameso Nkwanta,YES,SHEP2,1994,2293.1,Upper Denkyira West,Central,NA,No,NA,NA,597496.0014,678649.8015,6.138996879,-2.118842467
Jedu (Gyedu),YES,NA,352,404.8,Mfantsiman Municipal,Central,NA,No,NA,NA,716596.615,584916.2035,5.28868828,-1.04560983
Jei Krodua,YES,CWE,3037,3492.55,Awutu Senya,Central,TR,No,2010,NA,777035.329,625126.1513,5.650140603,-0.499064295
Jerusalem,YES,W/L,301,346.15,Upper Denkyira East Municipal,Central,FR,No,2020,NA,631437.7118,649909.208,5.878463729,-1.812683622
Jerusalem,YES,SECO,58,66.7,Assin South,Central,NA,No,2014,NA,676757.3925,609496.9087,5.512,-1.404399998
Jerusalem,YES,Weldy Lamon,199,228.85,Assin North,Central,NA,No,2017,NA,672428.3292,636029.5294,5.752039999,-1.442829999
Jukwa,YES,NA,6503,7478.45,Twifo/Heman/Lower Denkyira,Central,NA,No,NA,NA,684192.9674,581616.1571,5.259699578,-1.337982596
Jukwa,YES,NA,1460,1679,Gomoa West,Central,NA,No,NA,NA,755692.3497,609169.9301,5.506708874,-0.692191683
Kaawonserew,YES,SECO,452,519.8,Mfantsiman Municipal,Central,NA,No,NA,NA,709142.9522,593224.9946,5.364021298,-1.112611178
Kadadwen,YES,SECO,1413,1624.95,Assin North,Central,NA,No,NA,NA,693219.5814,649096.2641,5.869648399,-1.254759799
Kafodzidzi,YES,GEDAP INT,1837,2112.55,Komenda/Edina/Eguafo/Abirem,Central,NA,No,2011,NA,660467.3684,557014.5588,5.037744677,-1.552518018
Kakanasi,YES,NA,168,193.2,Abura/Asebu/Kwamankese,Central,NA,No,NA,NA,706371.7993,591280.0581,5.346512417,-1.137663403
Kakomdo (Kakumbo),YES,NA,3713,4269.95,Cape Coast Metro,Central,NA,No,NA,NA,690313.155,568591.8041,5.141777501,-1.283094398
Kakyerenyansa,YES,WELDY,219,251.85,Upper Denkyira West,Central,NA,No,2014,NA,605816.4125,671109.229,6.0706632,-2.043771345
Kankankrom,YES,WELDY,27,31.05,Abura/Asebu/Kwamankese,Central,NA,No,2014,NA,694191.9314,589658.6234,5.332174799,-1.247582499
Kano,YES,WELDY,85,97.75,Assin North,Central,NA,No,2014,NA,696637.0757,652166.7449,5.897314498,-1.223813399
Kasim,YES,SECO,92,105.8,Assin South,Central,NA,No,2014,NA,677648.0653,620196.0951,5.60873,-1.396099998
Kasoa,YES,NCD,49057,56415.55,Awutu Senya East Municipal,Central,NA,No,NA,NA,785278.7609,612359.4233,5.534439288,-0.425201622
Katakyiase,YES,NA,162,186.3,Assin South,Central,NA,No,NA,NA,705054.7747,595911.0231,5.388420499,-1.149417999
Katakyiase,YES,NA,1696,1950.4,Mfantsiman Municipal,Central,NA,No,NA,NA,705155.8426,595277.9764,5.38269387,-1.148523529
Kawanopado,YES,GEDAP,394,453.1,Asikuma/Odoben/Brakwa,Central,NA,No,2011,NA,715551.2969,626461.347,5.664337399,-1.053822998
Kawonopaado,YES,GEDAP,85,97.75,Awutu Senya,Central,NA,No,2011,NA,764499.9962,630984.7101,5.703569478,-0.611940752
KEEA District Assembly Office,YES,NA,4,4.6,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,683817.8397,563936.2361,5.099833333,-1.341783332
Kenyankor,YES,ONGOING,882,1014.3,Agona East,Central,NA,No,NA,NA,758069.1417,629684.2885,5.692053099,-0.670016698
Kissi,YES,NA,6887,7920.05,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,665782.3646,563182.8778,5.093419471,-1.504457187
Kobena Ansah,YES,NA,738,848.7,Abura/Asebu/Kwamankese,Central,NA,No,NA,NA,698912.975,574616.18,5.196036956,-1.20538315
Kodwo Abo,YES,SECO,122,140.3,Agona West Municipal,Central,NA,No,20,NA,742030.8766,630056.6422,5.695985999,-0.814732098
Kofi Ahor,YES,NA,45,51.75,Gomoa East,Central,NA,No,2017,NA,765787.9604,610942.1779,5.522367459,-0.6010602
Kofi Ansakrom,YES,WELDY,8,9.2,Komenda/Edina/Eguafo/Abirem,Central,NA,No,NA,NA,666080.4199,575553.7806,5.205289082,-1.501507053
