Name.1,Community,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,X-Coord,Y-Coord,lon,lat
NORTHERN,Gunda No.1,NO,NA,324,372.6,Kumbugu,Northern,NA,No,NA,NA,709728.8314,1056739.112,9.554512494,-1.089219999
NORTHERN,Gunda No.2,NO,NA,382,439.3,Kumbugu,Northern,NA,No,NA,NA,710210.851,1057240.384,9.559019698,-1.084804799
NORTHERN,Gundogu Sukpulsi,NO,NA,271,311.65,Yendi Municipal,Northern,NA,No,NA,NA,829143.5197,1048116.744,9.468957593,-2.79E-03
NORTHERN,Gundugolaryili,NO,NA,347,399.05,Mion,Northern,NA,No,NA,NA,805849.0269,1072497.678,9.690964398,-0.212930798
NORTHERN,Gungonyili,NO,NA,56,64.4,Tolon,Northern,NA,No,NA,NA,686246.5455,1063321.283,9.615130394,-1.3027959
NORTHERN,Gungula,NO,NA,214,246.1,Gushiegu,Northern,NA,No,NA,NA,810161.5109,1088593.61,9.836047493,-0.172438297
NORTHERN,Gunguni,NO,NA,433,497.95,Nanumba South,Northern,NA,No,NA,NA,846565.5388,973276.4388,8.791664996,0.149755404
NORTHERN,Bunbonayili,NO,NA,102,117.3,Nanumba North,Northern,NA,No,NA,NA,827359.727,1019710.256,9.212511219,-2.12E-02
NORTHERN,Gungunlibu (Kugnani),NO,NA,445,511.75,Saboba,Northern,NA,No,NA,NA,868297.5719,1061779.247,9.589092898,0.354562305
NORTHERN,Charles Akura,NO,NA,110,126.5,Kpandai,Northern,NA,No,NA,NA,793750.2032,910706.3301,8.230023306,-0.333783677
NORTHERN,Ilordo,NO,NA,201,231.15,Tatale Sangule,Northern,NA,No,NA,NA,877846.9318,1044098.468,9.428610502,0.439836804
NORTHERN,Inagmabuni,NO,NA,330,379.5,Saboba,Northern,NA,No,NA,NA,840662.6233,1091645.325,9.861169802,0.105611103
NORTHERN,Dam Akuraa,NO,NA,9,10.35,Kpandai,Northern,NA,No,NA,NA,794222.4312,910658.5751,8.229563346,-0.329503588
NORTHERN,Jabalpe,NO,NA,311,357.65,Tamale Metropolitan,Northern,NA,No,NA,NA,725114.4512,1028635.453,9.299683736,-0.950605713
NORTHERN,Jabripe,NO,NA,416,478.4,Tamale Metropolitan,Northern,NA,No,NA,NA,723949.5201,1028911.764,9.302242094,-0.961191899
